City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Esperance,AU,2021-04-12 21:40:31,-33.8667,121.9,51.8,93,40,16.11
68,Mount Gambier,AU,2021-04-12 21:40:31,-37.8333,140.7667,57.2,54,100,18.41
69,East London,ZA,2021-04-12 21:38:12,-33.0153,27.9116,71.64,88,99,5.93
70,Santo Antonio Da Charneca,PT,2021-04-12 21:40:32,38.6256,-9.0304,62.01,77,0,8.05
71,Lebu,CL,2021-04-12 21:40:20,-37.6167,-73.65,60.1,80,0,16.04
72,Butaritari,KI,2021-04-12 21:40:32,3.0707,172.7902,81.81,73,93,13.11
73,Caucaia,BR,2021-04-12 21:40:33,-3.7361,-38.6531,82.99,83,0,8.05
74,Gornopravdinsk,RU,2021-04-12 21:40:33,60.05,69.9,34.02,87,29,7.92
75,Qaqortoq,GL,2021-04-12 21:40:33,60.7167,-46.0333,42.8,39,1,6.91
76,Carnarvon,AU,2021-04-12 21:39:42,-24.8667,113.6333,73.11,69,77,23.02
77,Chokurdakh,RU,2021-04-12 21:37:26,70.6333,147.9167,-0.15,87,96,10.45
78,Mezen,RU,2021-04-12 21:40:34,65.8522,44.24,34.27,98,100,4.94
79,Dunedin,NZ,2021-04-12 21:35:36,-45.8742,170.5036,59.0,71,100,3.89
80,Tsivilsk,RU,2021-04-12 21:40:35,55.8611,47.4664,44.6,61,0,6.71
81,Petropavlovsk-Kamchatskiy,RU,2021-04-12 21:40:35,53.0452,158.6483,33.8,44,79,13.42
82,Axim,GH,2021-04-12 21:40:35,4.8699,-2.2405,81.75,83,86,9.84
83,Ponta Do Sol,PT,2021-04-12 21:40:36,32.6667,-17.1,68.0,83,20,5.75
84,Dalvik,IS,2021-04-12 21:40:36,65.9702,-18.5286,35.6,87,0,5.75
85,Jalu,LY,2021-04-12 21:40:36,29.0331,21.5482,68.81,18,100,10.25
86,Sitka,US,2021-04-12 21:40:37,57.0531,-135.33,41.0,75,90,14.97
87,Kartaly,RU,2021-04-12 21:40:37,53.0522,60.6467,41.65,98,82,6.71
88,Oksfjord,NO,2021-04-12 21:40:38,70.2396,22.3479,30.2,68,98,8.05
89,Arlit,NE,2021-04-12 21:40:38,18.7369,7.3853,86.99,7,0,6.71
90,Kushiro,JP,2021-04-12 21:40:38,42.975,144.3747,42.55,90,100,18.68
91,Deputatskiy,RU,2021-04-12 21:40:39,69.3,139.9,-3.42,86,30,3.96
92,Black River,JM,2021-04-12 21:40:39,18.0264,-77.8487,82.99,78,75,10.36
93,Kapaa,US,2021-04-12 21:40:39,22.0752,-159.319,78.8,61,1,14.97
94,Inirida,CO,2021-04-12 21:40:40,3.8653,-67.9239,78.51,90,94,3.0
95,Faanui,PF,2021-04-12 21:40:40,-16.4833,-151.75,82.42,72,100,11.3
96,Nevel,RU,2021-04-12 21:40:40,56.0209,29.9284,48.79,92,100,7.14
97,Igrim,RU,2021-04-12 21:40:41,63.1906,64.4162,34.29,82,100,11.05
98,Kodiak,US,2021-04-12 21:36:48,57.79,-152.4072,39.72,77,41,8.72
99,Arkhara,RU,2021-04-12 21:40:41,49.4212,130.0842,15.57,84,87,12.64
100,Mar Del Plata,AR,2021-04-12 21:40:11,-38.0023,-57.5575,71.6,56,0,8.05
101,Kieta,PG,2021-04-12 21:39:35,-6.2167,155.6333,80.17,79,100,3.89
102,Sasovo,RU,2021-04-12 21:40:42,54.3537,41.9199,48.76,90,89,8.46
103,Kurumkan,RU,2021-04-12 21:40:42,54.3,110.3,19.87,70,6,2.44
